"indicator","series","seriesDescription","seriesCount","timePeriodStart"
"117344",4.5.1,SE_AWP_CPRA,Adjusted wealth parity index for completion rate; by sex; location; wealth quintile and education level,12237,2011
"117370",4.5.1,SE_AWP_CPRA,Adjusted wealth parity index for completion rate; by sex; location; wealth quintile and education level,12237,2004
"117379",4.5.1,SE_AWP_CPRA,Adjusted wealth parity index for completion rate; by sex; location; wealth quintile and education level,12237,2007
"119292",4.5.1,SE_AGP_CPRA,Adjusted gender parity index for completion rate; by sex; location; wealth quintile and education level,24282,2011
"119346",4.5.1,SE_AGP_CPRA,Adjusted gender parity index for completion rate; by sex; location; wealth quintile and education level,24282,2004
"119364",4.5.1,SE_AGP_CPRA,Adjusted gender parity index for completion rate; by sex; location; wealth quintile and education level,24282,2007
"123149",4.6.1,SE_ADT_FUNS,Proportion of population achieving at least a fixed level of proficiency in functional skills; by sex; age and type of skill (%),237,2011
"123158",4.6.1,SE_ADT_FUNS,Proportion of population achieving at least a fixed level of proficiency in functional skills; by sex; age and type of skill (%),237,2007
"123160",4.a.1,SE_ACS_CMPTR,Schools with access to computers for pedagogical purposes; by education level (%),1557,2004
"123163",4.a.1,SE_ACS_CMPTR,Schools with access to computers for pedagogical purposes; by education level (%),1557,2007
"123166",4.a.1,SE_ACS_CMPTR,Schools with access to computers for pedagogical purposes; by education level (%),1557,2011
"123304",4.a.1,SE_ACS_H2O,Schools with access to basic drinking water; by education level (%),1742,2004
"123307",4.a.1,SE_ACS_H2O,Schools with access to basic drinking water; by education level (%),1742,2007
"123310",4.a.1,SE_ACS_H2O,Schools with access to basic drinking water; by education level (%),1742,2011
"123489",4.a.1,SE_ACS_ELECT,Schools with access to electricity; by education level (%),2163,2004
"123492",4.a.1,SE_ACS_ELECT,Schools with access to electricity; by education level (%),2163,2007
"123495",4.a.1,SE_ACS_ELECT,Schools with access to electricity; by education level (%),2163,2011
"123710",4.a.1,SE_ACC_HNDWSH,Schools with basic handwashing facilities; by education level (%),1668,2004
"123713",4.a.1,SE_ACC_HNDWSH,Schools with basic handwashing facilities; by education level (%),1668,2007
"123716",4.a.1,SE_ACC_HNDWSH,Schools with basic handwashing facilities; by education level (%),1668,2011
"123889",4.a.1,SE_ACS_INTNT,Schools with access to the internet for pedagogical purposes; by education level (%),1470,2004
"123892",4.a.1,SE_ACS_INTNT,Schools with access to the internet for pedagogical purposes; by education level (%),1470,2007
"123895",4.a.1,SE_ACS_INTNT,Schools with access to the internet for pedagogical purposes; by education level (%),1470,2011
"124034",4.a.1,SE_ACS_SANIT,Schools with access to access to single-sex basic sanitation; by education level (%),1611,2004
"124037",4.a.1,SE_ACS_SANIT,Schools with access to access to single-sex basic sanitation; by education level (%),1611,2007
"124040",4.a.1,SE_ACS_SANIT,Schools with access to access to single-sex basic sanitation; by education level (%),1611,2011
"124208",4.a.1,SE_INF_DSBL,Proportion of schools with access to adapted infrastructure and materials for students with disabilities; by education level (%),335,2004
"124211",4.a.1,SE_INF_DSBL,Proportion of schools with access to adapted infrastructure and materials for students with disabilities; by education level (%),335,2007
"124214",4.a.1,SE_INF_DSBL,Proportion of schools with access to adapted infrastructure and materials for students with disabilities; by education level (%),335,2011
"124217",4.b.1,DC_TOF_SCHIPSL,Total official flows for scholarships; by recipient countries (millions of constant 2018 United States dollars),2276,2007
"124218",4.b.1,DC_TOF_SCHIPSL,Total official flows for scholarships; by recipient countries (millions of constant 2018 United States dollars),2276,2011
"124561",4.c.1,SE_TRA_GRDL,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country; by sex and education level (%),13535,2004
"124564",4.c.1,SE_TRA_GRDL,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country; by sex and education level (%),13535,2007
"124573",4.c.1,SE_TRA_GRDL,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country; by sex and education level (%),13535,2011
"126622",5.2.1,VC_VAW_MARR,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months; by age (%),577,2011
"126636",5.2.1,VC_VAW_MARR,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months; by age (%),577,2007
"126653",5.3.1,SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),178,2011
"126654",5.3.1,SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),178,2004
"126661",5.3.1,SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),178,2007
"126675",5.3.1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),178,2011
"126676",5.3.1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),178,2004
"126683",5.3.1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),178,2007
"126697",5.3.2,SH_STA_FGMS,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting; by age (%),42,2004
"126698",5.3.2,SH_STA_FGMS,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting; by age (%),42,2011
"126702",5.4.1,SL_DOM_TSPDCW,Proportion of time spent on unpaid care work; by sex; age and location (%),2048,2011
"126714",5.4.1,SL_DOM_TSPDCW,Proportion of time spent on unpaid care work; by sex; age and location (%),2048,2004
"126716",5.4.1,SL_DOM_TSPDCW,Proportion of time spent on unpaid care work; by sex; age and location (%),2048,2007
"126910",5.4.1,SL_DOM_TSPDDC,Proportion of time spent on unpaid domestic chores; by sex; age and location (%),2075,2011
"126922",5.4.1,SL_DOM_TSPDDC,Proportion of time spent on unpaid domestic chores; by sex; age and location (%),2075,2004
"126924",5.4.1,SL_DOM_TSPDDC,Proportion of time spent on unpaid domestic chores; by sex; age and location (%),2075,2007
"127120",5.4.1,SL_DOM_TSPD,Proportion of time spent on unpaid domestic chores and care work; by sex; age and location (%),2297,2011
"127132",5.4.1,SL_DOM_TSPD,Proportion of time spent on unpaid domestic chores and care work; by sex; age and location (%),2297,2004
"127134",5.4.1,SL_DOM_TSPD,Proportion of time spent on unpaid domestic chores and care work; by sex; age and location (%),2297,2007
"127342",5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),4774,2007
"127343",5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),4774,2011
"127344",5.5.1,SG_GEN_PARLN,Number of seats held by women in national parliaments (number),4774,2004
"128018",5.5.1,SG_GEN_PARLNT,Number of seats in national parliaments (number),4777,2007
"128019",5.5.1,SG_GEN_PARLNT,Number of seats in national parliaments (number),4777,2011
"128020",5.5.1,SG_GEN_PARLNT,Number of seats in national parliaments (number),4777,2004
"128694",5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),4774,2007
"128695",5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),4774,2011
"128696",5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),4774,2004
"129370",5.5.1,SG_GEN_LOCGELS,Proportion of elected seats held by women in deliberative bodies of local government (%),194,2011
"129371",5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions (%),2008,2007
"129372",5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions (%),2008,2004
"129374",5.5.2,IC_GEN_MGTL,Proportion of women in managerial positions (%),2008,2011
"129678",5.5.2,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),922,2007
"129679",5.5.2,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),922,2004
"129680",5.5.2,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),922,2011
"129815",5.6.1,SH_FPL_INFM,Proportion of women who make their own informed decisions regarding sexual relations; contraceptive use and reproductive health care (% of women aged 15-49 years),109,2011
"129816",5.6.1,SH_FPL_INFM,Proportion of women who make their own informed decisions regarding sexual relations; contraceptive use and reproductive health care (% of women aged 15-49 years),109,2007
"129828",5.6.1,SH_FPL_INFMSR,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),109,2011
"129829",5.6.1,SH_FPL_INFMSR,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),109,2007
"129841",5.6.1,SH_FPL_INFMCU,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),109,2011
"129842",5.6.1,SH_FPL_INFMCU,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),109,2007
"129854",5.6.1,SH_FPL_INFMRH,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),109,2011
"129855",5.6.1,SH_FPL_INFMRH,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),109,2007
"129867",6.1.1,SH_H2O_SAFE,Proportion of population using safely managed drinking water services; by urban/rural (%),4692,2004
"129868",6.1.1,SH_H2O_SAFE,Proportion of population using safely managed drinking water services; by urban/rural (%),4692,2007
"129869",6.1.1,SH_H2O_SAFE,Proportion of population using safely managed drinking water services; by urban/rural (%),4692,2011
"130649",6.2.1,SH_SAN_HNDWSH,Proportion of population with basic handwashing facilities on premises; by urban/rural (%),3203,2007
"130652",6.2.1,SH_SAN_HNDWSH,Proportion of population with basic handwashing facilities on premises; by urban/rural (%),3203,2011
"130658",6.2.1,SH_SAN_HNDWSH,Proportion of population with basic handwashing facilities on premises; by urban/rural (%),3203,2004
"131106",6.2.1,SH_SAN_SAFE,Proportion of population using safely managed sanitation services; by urban/rural (%),4931,2004
"131109",6.2.1,SH_SAN_SAFE,Proportion of population using safely managed sanitation services; by urban/rural (%),4931,2007
"131112",6.2.1,SH_SAN_SAFE,Proportion of population using safely managed sanitation services; by urban/rural (%),4931,2011
"131930",6.2.1,SH_SAN_DEFECT,Proportion of population practicing open defecation; by urban/rural (%),11978,2004
"131933",6.2.1,SH_SAN_DEFECT,Proportion of population practicing open defecation; by urban/rural (%),11978,2007
"131936",6.2.1,SH_SAN_DEFECT,Proportion of population practicing open defecation; by urban/rural (%),11978,2011
"133938",6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),2360,2004
"133939",6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),2360,2007
"133942",6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),2360,2011
"134349",6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),3623,2004
"134350",6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),3623,2007
"134354",6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),3623,2011
"134886",6.6.1,EN_WBE_PMPR,Water body extent (permanent) (% of total land area),3466,2007
"134887",6.6.1,EN_WBE_PMPR,Water body extent (permanent) (% of total land area),3466,2011
"135380",6.6.1,EN_WBE_PMNR,Water body extent (permanent) (square kilometres),3524,2007
"135381",6.6.1,EN_WBE_PMNR,Water body extent (permanent) (square kilometres),3524,2011
"135882",6.6.1,EN_WBE_PMPP,Water body extent (permanent and maybe permanent) (% of total land area),3501,2007
"135883",6.6.1,EN_WBE_PMPP,Water body extent (permanent and maybe permanent) (% of total land area),3501,2011
"136382",6.6.1,EN_WBE_PMPN,Water body extent (permanent and maybe permanent) (square kilometres),3559,2007
"136383",6.6.1,EN_WBE_PMPN,Water body extent (permanent and maybe permanent) (square kilometres),3559,2011
"136890",6.a.1,DC_TOF_WASHL,Total official development assistance (gross disbursement) for water supply and sanitation; by recipient countries (millions of constant 2018 United States dollars),3248,2004
"136891",6.a.1,DC_TOF_WASHL,Total official development assistance (gross disbursement) for water supply and sanitation; by recipient countries (millions of constant 2018 United States dollars),3248,2007
"136892",6.a.1,DC_TOF_WASHL,Total official development assistance (gross disbursement) for water supply and sanitation; by recipient countries (millions of constant 2018 United States dollars),3248,2011
"137416",7.1.1,EG_ACS_ELEC,Proportion of population with access to electricity; by urban/rural (%),18375,2007
"137419",7.1.1,EG_ACS_ELEC,Proportion of population with access to electricity; by urban/rural (%),18375,2011
"137422",7.1.1,EG_ACS_ELEC,Proportion of population with access to electricity; by urban/rural (%),18375,2004
"139348",7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),4028,2004
"139349",7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),4028,2007
"139350",7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),4028,2011
"139984",7.2.1,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),4914,2004
"139985",7.2.1,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),4914,2007
"139986",7.2.1,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),4914,2011
"140803",7.3.1,EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP),4291,2004
"140804",7.3.1,EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP),4291,2007
"140805",7.3.1,EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP),4291,2011
"141517",7.a.1,EG_IFF_RANDN,International financial flows to developing countries in support of clean energy research and development and renewable energy production; including in hybrid systems (millions of constant 2017 United States dollars),1849,2007
"141518",7.a.1,EG_IFF_RANDN,International financial flows to developing countries in support of clean energy research and development and renewable energy production; including in hybrid systems (millions of constant 2017 United States dollars),1849,2011
"141519",7.a.1,EG_IFF_RANDN,International financial flows to developing countries in support of clean energy research and development and renewable energy production; including in hybrid systems (millions of constant 2017 United States dollars),1849,2004
"142431",8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),4769,2004
"142432",8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),4769,2007
"142433",8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),4769,2011
"143184",8.10.1,FB_ATM_TOTL,Number of automated teller machines (ATMs) per 100;000 adults,2461,2004
"143185",8.10.1,FB_ATM_TOTL,Number of automated teller machines (ATMs) per 100;000 adults,2461,2007
"143186",8.10.1,FB_ATM_TOTL,Number of automated teller machines (ATMs) per 100;000 adults,2461,2011
"143637",8.10.1,FB_CBK_BRCH,Number of commercial bank branches per 100;000 adults,2608,2004
"143638",8.10.1,FB_CBK_BRCH,Number of commercial bank branches per 100;000 adults,2608,2007
"143639",8.10.1,FB_CBK_BRCH,Number of commercial bank branches per 100;000 adults,2608,2011
"144144",8.10.2,FB_BNK_ACCSS,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider; by sex (% of adults aged 15 years and older),1338,2011
"144573",8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),4180,2004
"144574",8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),4180,2007
"144575",8.2.1,SL_EMP_PCAP,Annual growth rate of real GDP per employed person (%),4180,2011
"145200",8.3.1,SL_ISV_IFEM,Proportion of informal employment; by sector and sex (ILO harmonized estimates) (%),3213,2004
"145209",8.3.1,SL_ISV_IFEM,Proportion of informal employment; by sector and sex (ILO harmonized estimates) (%),3213,2011
"145254",8.3.1,SL_ISV_IFEM,Proportion of informal employment; by sector and sex (ILO harmonized estimates) (%),3213,2007
"175340",8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),5776,2004
"175343",8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),5776,2007
"175346",8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),5776,2011
"175571",8.5.2,SL_TLF_UEM,Unemployment rate; by sex and age (%),18279,2007
"175580",8.5.2,SL_TLF_UEM,Unemployment rate; by sex and age (%),18279,2011
"175589",8.5.2,SL_TLF_UEM,Unemployment rate; by sex and age (%),18279,2004
"178330",8.5.2,SL_TLF_UEMDIS,Unemployment rate; by sex and disability (%),1134,2007
"178339",8.5.2,SL_TLF_UEMDIS,Unemployment rate; by sex and disability (%),1134,2011
"178384",8.6.1,SL_TLF_NEET,Proportion of youth not in education; employment or training; by sex and age (%),4585,2007
"178387",8.6.1,SL_TLF_NEET,Proportion of youth not in education; employment or training; by sex and age (%),4585,2011
"178393",8.6.1,SL_TLF_NEET,Proportion of youth not in education; employment or training; by sex and age (%),4585,2004
"179077",8.7.1,SL_TLF_CHLDEC,Proportion of children engaged in economic activity and household chores; by sex and age (%),249,2011
"179089",8.7.1,SL_TLF_CHLDEA,Proportion of children engaged in economic activity; by sex and age  (%),273,2011
"179104",8.8.1,SL_EMP_FTLINJUR,Fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3416,2004
"179106",8.8.1,SL_EMP_FTLINJUR,Fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3416,2007
"179107",8.8.1,SL_EMP_FTLINJUR,Fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3416,2011
"179637",8.8.1,SL_EMP_INJUR,Non-fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3478,2004
"179639",8.8.1,SL_EMP_INJUR,Non-fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3478,2007
"179640",8.8.1,SL_EMP_INJUR,Non-fatal occupational injuries among employees; by sex and migrant status (per 100;000 employees),3478,2011
"180182",8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),557,2011
"180237",8.a.1,DC_TOF_TRDCMDL,Total official flows (commitments) for Aid for Trade; by donor countries (millions of constant 2018 United States dollars),364,2007
"180238",8.a.1,DC_TOF_TRDCMDL,Total official flows (commitments) for Aid for Trade; by donor countries (millions of constant 2018 United States dollars),364,2011
"180286",8.a.1,DC_TOF_TRDDBMDL,Total official flows (disbursement) for Aid for Trade; by donor countries (millions of constant 2018 United States dollars),342,2007
"180287",8.a.1,DC_TOF_TRDDBMDL,Total official flows (disbursement) for Aid for Trade; by donor countries (millions of constant 2018 United States dollars),342,2011
"180335",8.a.1,DC_TOF_TRDDBML,Total official flows (disbursement) for Aid for Trade; by recipient countries (millions of constant 2018 United States dollars),2303,2007
"180336",8.a.1,DC_TOF_TRDDBML,Total official flows (disbursement) for Aid for Trade; by recipient countries (millions of constant 2018 United States dollars),2303,2011
"180689",8.a.1,DC_TOF_TRDCML,Total official flows (commitments) for Aid for Trade; by recipient countries (millions of constant 2018 United States dollars),2479,2007
"180690",8.a.1,DC_TOF_TRDCML,Total official flows (commitments) for Aid for Trade; by recipient countries (millions of constant 2018 United States dollars),2479,2011
"181043",9.1.1,SP_ROD_R2KM,Proportion of the rural population who live within 2 km of an all-season road,24,2011
"181044",9.1.2,IS_RDP_PORFVOL,Container port traffic; maritime transport (twenty-foot equivalent units - TEUs),1224,2011
"181180",9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),4996,2004
"181181",9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),4996,2007
"181182",9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),4996,2011
"181927",9.2.1,NV_IND_MANF,Manufacturing value added as a proportion of GDP (%),4996,2004
"181928",9.2.1,NV_IND_MANF,Manufacturing value added as a proportion of GDP (%),4996,2007
"181929",9.2.1,NV_IND_MANF,Manufacturing value added as a proportion of GDP (%),4996,2011
"182674",9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment (%),2177,2007
"182675",9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment (%),2177,2011
"182676",9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment (%),2177,2004
"183016",9.3.1,NV_IND_SSIS,Proportion of small-scale industries in total industry value added (%),729,2011
"183017",9.3.1,NV_IND_SSIS,Proportion of small-scale industries in total industry value added (%),729,2004
"183020",9.3.1,NV_IND_SSIS,Proportion of small-scale industries in total industry value added (%),729,2007
"183133",9.3.2,FC_ACC_SSID,Proportion of small-scale industries with a loan or line of credit (%),258,2007
"183135",9.3.2,FC_ACC_SSID,Proportion of small-scale industries with a loan or line of credit (%),258,2011
"183150",9.4.1,EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),3438,2004
"183151",9.4.1,EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),3438,2007
"183152",9.4.1,EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),3438,2011
"183723",9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2010 United States dollars),3243,2004
"183724",9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2010 United States dollars),3243,2007
"183725",9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2010 United States dollars),3243,2011
"184261",9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars),3348,2004
"184262",9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars),3348,2007
"184263",9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars),3348,2011
"184819",9.5.1,GB_XPD_RSDV,Research and development expenditure as a proportion of GDP (%),2173,2007
"184820",9.5.1,GB_XPD_RSDV,Research and development expenditure as a proportion of GDP (%),2173,2004
"184824",9.5.1,GB_XPD_RSDV,Research and development expenditure as a proportion of GDP (%),2173,2011
"185189",9.5.2,GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants (per 1;000;000 population),1797,2004
"185190",9.5.2,GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants (per 1;000;000 population),1797,2011
"185192",9.5.2,GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants (per 1;000;000 population),1797,2007
"185491",9.a.1,DC_TOF_INFRAL,Total official flows for infrastructure; by recipient countries (millions of constant 2018 United States dollars),3397,2004
"185492",9.a.1,DC_TOF_INFRAL,Total official flows for infrastructure; by recipient countries (millions of constant 2018 United States dollars),3397,2007
"185493",9.a.1,DC_TOF_INFRAL,Total official flows for infrastructure; by recipient countries (millions of constant 2018 United States dollars),3397,2011
"186033",9.b.1,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),3492,2004
"186034",9.b.1,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),3492,2007
"186035",9.b.1,NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added (%),3492,2011
"186615",9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),3244,2007
"186616",9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),3244,2011
"186617",9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),3244,2004
"187107",9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),1791,2011
"187113",9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),1791,2007
